Meter Sequential - Variable Length - CSV kWh - Electricity
Report Date,08/06/23 00:00:00
Report Run Date,08/06/23 09:05:45
Company Name,GS - Opco Angel 1 Limited
Reporting Set,HH 1200010232050 - K19TB01223
Meters in Reporting Set,1

Company Name,Site Name,Online Meter Name,MPAN,Meter ID,Type,Est,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,01/01/21,82.140,82.960,81.230,82.560,77.080,80.855,76.780,77.815,79.255,76.540,80.180,86.260,100.325,92.835,98.205,89.460,81.555,92.285,88.420,83.320,58.990,64.265,73.220,80.625,64.695,71.595,74.420,71.225,76.710,78.835,81.050,78.920,65.505,77.555,83.680,78.320,72.910,79.985,89.860,84.295,79.160,73.085,74.325,77.765,76.225,73.055,67.610,72.825
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,02/01/21,70.095,70.820,74.780,72.410,73.960,68.490,71.545,69.140,72.325,69.200,72.850,74.005,73.625,77.530,80.615,81.970,84.590,85.535,83.185,79.495,61.310,65.425,67.430,70.970,62.870,67.050,66.910,66.880,64.575,71.815,71.710,69.400,59.225,62.400,76.645,76.290,76.490,90.140,88.975,88.745,90.820,101.870,97.785,100.865,95.270,91.560,88.615,84.945
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,03/01/21,77.970,87.185,77.165,71.690,70.835,65.025,67.385,66.040,62.095,63.050,69.095,80.565,88.690,91.835,88.385,92.140,89.260,95.085,99.465,87.430,64.215,69.870,72.295,73.955,66.690,77.300,67.285,67.840,61.315,71.590,73.615,71.635,56.960,60.160,68.595,65.120,54.535,64.615,70.055,71.590,69.770,73.325,70.735,72.800,71.405,69.980,70.640,64.780
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,04/01/21,66.110,70.995,74.145,67.075,63.595,65.000,65.900,62.125,59.255,61.895,62.125,72.995,75.025,69.925,71.805,78.410,74.880,78.585,81.590,80.325,68.095,72.755,71.455,75.880,63.535,72.965,73.350,74.770,68.870,84.330,86.095,80.830,66.540,78.330,88.665,87.265,77.600,91.045,97.280,98.925,96.560,97.850,101.850,91.175,83.750,77.230,79.470,83.185
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,05/01/21,88.430,85.585,92.160,83.925,78.200,75.510,72.430,73.935,78.750,69.410,73.705,86.090,94.160,87.160,89.090,90.960,89.935,87.130,91.645,94.900,64.360,63.100,67.615,69.330,66.370,71.050,74.450,70.435,66.695,73.540,79.455,75.430,63.985,72.700,75.325,75.030,67.255,90.665,96.260,95.750,95.780,90.035,90.605,86.885,75.025,68.835,68.755,65.345
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,06/01/21,78.915,77.580,72.380,71.650,68.690,71.465,81.010,76.395,77.310,78.045,75.340,79.350,80.225,78.525,76.085,75.935,79.650,74.825,77.495,70.485,60.270,60.540,67.060,68.025,65.650,68.820,70.765,68.435,62.405,64.780,63.990,72.805,63.090,62.675,72.800,68.910,60.890,81.255,87.205,88.060,89.565,84.380,87.975,83.930,84.350,82.790,78.440,76.575
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,07/01/21,76.525,78.945,87.875,77.780,74.145,76.890,68.735,81.300,73.710,73.650,71.710,74.425,83.655,78.460,85.190,85.260,85.735,87.085,91.405,86.360,72.680,120.990,144.895,126.530,63.710,72.445,72.035,69.895,68.330,70.110,71.885,72.800,67.615,72.025,72.355,79.475,74.830,85.340,91.385,93.475,100.285,94.485,90.920,90.220,87.750,84.085,81.835,76.320
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,08/01/21,77.540,74.545,76.600,76.915,68.730,71.070,69.205,68.230,70.990,74.705,73.460,78.835,82.095,88.630,94.705,84.850,82.110,83.520,85.965,81.985,67.490,71.530,71.135,69.190,67.785,72.405,75.050,68.630,62.680,73.905,73.260,69.275,67.250,78.215,79.600,75.385,70.290,75.620,80.525,83.955,86.735,83.865,87.270,86.285,78.280,77.745,73.145,69.020
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,09/01/21,71.680,71.505,80.100,79.260,78.710,81.240,78.165,70.340,72.055,65.500,68.320,70.600,75.490,74.885,74.875,74.295,75.340,85.750,84.390,81.435,66.230,66.605,68.105,67.915,63.630,66.225,65.955,66.070,58.480,62.070,63.300,70.045,69.615,70.820,67.760,71.770,61.290,72.380,73.050,77.180,79.705,74.645,74.925,69.255,69.125,77.600,80.370,85.110
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,10/01/21,84.615,79.690,88.125,83.735,79.525,82.165,79.110,78.060,77.430,78.245,74.195,79.660,89.495,90.495,83.335,79.640,81.905,78.265,75.510,84.145,68.900,68.950,67.675,66.920,61.110,65.190,62.560,63.975,59.565,64.915,65.690,68.840,62.745,63.790,66.760,70.780,72.800,79.065,69.475,71.325,77.090,76.635,80.760,79.680,69.260,64.585,69.930,71.515
