Meter Sequential - Variable Length - CSV kWh - Electricity
Report Date,08/06/2023 00:00
Report Run Date,08/06/2023 09:05
Company Name,GS - Opco Angel 1 Limited
Reporting Set,HH 1200010232050 - K19TB01223
Meters in Reporting Set,1

Company Name,Site Name,Online Meter Name,MPAN,Meter ID,Type,Est,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,01/01/2021,82.14,82.96,81.23,82.56,77.08,80.855,76.78,77.815,79.255,76.54,80.18,86.26,100.325,92.835,98.205,89.46,81.555,92.285,88.42,83.32,58.99,64.265,73.22,80.625,64.695,71.595,74.42,71.225,76.71,78.835,81.05,78.92,65.505,77.555,83.68,78.32,72.91,79.985,89.86,84.295,79.16,73.085,74.325,77.765,76.225,73.055,67.61,72.825,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,02/01/2021,70.095,70.82,74.78,72.41,73.96,68.49,71.545,69.14,72.325,69.2,72.85,74.005,73.625,77.53,80.615,81.97,84.59,85.535,83.185,79.495,61.31,65.425,67.43,70.97,62.87,67.05,66.91,66.88,64.575,71.815,71.71,69.4,59.225,62.4,76.645,76.29,76.49,90.14,88.975,88.745,90.82,101.87,97.785,100.865,95.27,91.56,88.615,84.945,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,03/01/2021,77.97,87.185,77.165,71.69,70.835,65.025,67.385,66.04,62.095,63.05,69.095,80.565,88.69,91.835,88.385,92.14,89.26,95.085,99.465,87.43,64.215,69.87,72.295,73.955,66.69,77.3,67.285,67.84,61.315,71.59,73.615,71.635,56.96,60.16,68.595,65.12,54.535,64.615,70.055,71.59,69.77,73.325,70.735,72.8,71.405,69.98,70.64,64.78,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,04/01/2021,66.11,70.995,74.145,67.075,63.595,65,65.9,62.125,59.255,61.895,62.125,72.995,75.025,69.925,71.805,78.41,74.88,78.585,81.59,80.325,68.095,72.755,71.455,75.88,63.535,72.965,73.35,74.77,68.87,84.33,86.095,80.83,66.54,78.33,88.665,87.265,77.6,91.045,97.28,98.925,96.56,97.85,101.85,91.175,83.75,77.23,79.47,83.185,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,05/01/2021,88.43,85.585,92.16,83.925,78.2,75.51,72.43,73.935,78.75,69.41,73.705,86.09,94.16,87.16,89.09,90.96,89.935,87.13,91.645,94.9,64.36,63.1,67.615,69.33,66.37,71.05,74.45,70.435,66.695,73.54,79.455,75.43,63.985,72.7,75.325,75.03,67.255,90.665,96.26,95.75,95.78,90.035,90.605,86.885,75.025,68.835,68.755,65.345,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,06/01/2021,78.915,77.58,72.38,71.65,68.69,71.465,81.01,76.395,77.31,78.045,75.34,79.35,80.225,78.525,76.085,75.935,79.65,74.825,77.495,70.485,60.27,60.54,67.06,68.025,65.65,68.82,70.765,68.435,62.405,64.78,63.99,72.805,63.09,62.675,72.8,68.91,60.89,81.255,87.205,88.06,89.565,84.38,87.975,83.93,84.35,82.79,78.44,76.575,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,07/01/2021,76.525,78.945,87.875,77.78,74.145,76.89,68.735,81.3,73.71,73.65,71.71,74.425,83.655,78.46,85.19,85.26,85.735,87.085,91.405,86.36,72.68,120.99,144.895,126.53,63.71,72.445,72.035,69.895,68.33,70.11,71.885,72.8,67.615,72.025,72.355,79.475,74.83,85.34,91.385,93.475,100.285,94.485,90.92,90.22,87.75,84.085,81.835,76.32,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,08/01/2021,77.54,74.545,76.6,76.915,68.73,71.07,69.205,68.23,70.99,74.705,73.46,78.835,82.095,88.63,94.705,84.85,82.11,83.52,85.965,81.985,67.49,71.53,71.135,69.19,67.785,72.405,75.05,68.63,62.68,73.905,73.26,69.275,67.25,78.215,79.6,75.385,70.29,75.62,80.525,83.955,86.735,83.865,87.27,86.285,78.28,77.745,73.145,69.02,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,09/01/2021,71.68,71.505,80.1,79.26,78.71,81.24,78.165,70.34,72.055,65.5,68.32,70.6,75.49,74.885,74.875,74.295,75.34,85.75,84.39,81.435,66.23,66.605,68.105,67.915,63.63,66.225,65.955,66.07,58.48,62.07,63.3,70.045,69.615,70.82,67.76,71.77,61.29,72.38,73.05,77.18,79.705,74.645,74.925,69.255,69.125,77.6,80.37,85.11,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,10/01/2021,84.615,79.69,88.125,83.735,79.525,82.165,79.11,78.06,77.43,78.245,74.195,79.66,89.495,90.495,83.335,79.64,81.905,78.265,75.51,84.145,68.9,68.95,67.675,66.92,61.11,65.19,62.56,63.975,59.565,64.915,65.69,68.84,62.745,63.79,66.76,70.78,72.8,79.065,69.475,71.325,77.09,76.635,80.76,79.68,69.26,64.585,69.93,71.515,,
