Meter Sequential - Variable Length - CSV kWh - Electricity
Report Date,08/06/23 00:00:00
Report Run Date,08/06/23 08:41:19
Company Name,GS - DT V Opco Limited
Reporting Set,HH 1900027426471 - 15042914
Meters in Reporting Set,1

Company Name,Site Name,Online Meter Name,MPAN,Meter ID,Type,Est,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,01/01/21,119.830,116.530,110.410,119.350,111.080,116.665,121.305,111.160,119.910,118.225,117.640,120.065,121.400,135.840,124.845,116.505,121.350,120.050,111.110,124.330,115.790,116.825,115.535,112.865,116.890,110.870,112.475,115.485,111.280,111.465,118.530,118.840,113.110,118.970,118.215,115.265,120.110,113.680,119.945,115.455,111.575,115.720,117.880,112.360,107.250,116.305,109.100,105.540
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,02/01/21,112.590,106.560,106.865,113.270,102.115,108.085,110.515,107.485,109.555,109.260,112.560,112.580,109.120,115.500,119.665,121.975,113.635,113.905,112.480,110.180,113.920,115.970,106.270,113.020,108.060,106.505,105.975,108.300,101.390,109.920,108.815,108.200,114.450,113.510,113.945,114.175,116.825,115.295,112.960,114.840,117.715,115.380,116.930,115.400,117.800,111.320,121.305,118.745
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,03/01/21,109.120,120.380,112.720,109.635,110.950,111.595,111.670,111.390,105.700,113.990,113.145,110.725,115.145,113.055,111.680,118.700,112.940,110.755,113.720,112.945,111.775,112.720,112.305,106.285,110.595,101.565,106.835,110.120,115.575,116.905,107.175,111.440,123.805,113.220,114.495,114.165,116.385,123.690,115.885,121.930,122.895,115.800,114.975,116.610,115.870,112.290,110.930,113.640
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,04/01/21,110.150,110.510,108.780,107.060,111.840,105.275,111.430,106.715,111.700,111.100,114.725,112.160,119.825,118.665,125.465,120.175,117.465,119.080,118.420,121.035,112.205,117.875,119.630,114.575,112.785,123.890,112.310,115.935,116.465,117.040,122.065,117.290,120.285,127.475,125.255,128.105,138.630,134.855,137.715,142.165,142.315,132.645,132.145,126.425,122.230,123.120,118.800,120.295
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,05/01/21,114.425,114.755,116.615,111.455,112.830,119.410,111.320,114.670,117.715,114.025,126.540,126.210,124.470,124.700,132.365,129.945,120.905,132.920,120.295,124.840,118.800,122.270,116.770,118.785,119.415,115.855,114.745,122.345,116.350,115.010,124.070,125.305,122.310,124.075,127.065,127.175,135.165,127.745,137.970,130.895,126.330,126.800,126.640,121.710,126.455,126.635,118.480,123.485
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,06/01/21,116.080,113.875,116.550,114.935,115.810,114.855,108.455,121.465,111.145,111.345,119.415,120.400,136.150,129.665,133.825,124.615,135.985,121.135,119.250,116.375,118.345,111.695,120.015,112.895,117.570,117.925,113.665,119.490,114.465,118.710,114.670,120.250,125.510,126.580,128.445,132.545,128.495,125.425,129.495,128.600,129.145,122.570,125.325,128.560,114.720,115.810,115.015,111.130
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,07/01/21,115.340,110.970,110.745,104.295,107.385,110.680,104.295,108.025,105.480,113.440,110.920,120.815,126.360,124.375,123.135,131.800,130.140,118.790,121.175,118.240,121.415,116.340,115.695,116.910,113.255,120.290,116.330,117.045,120.225,115.330,112.670,118.960,123.670,129.690,122.280,126.975,127.255,128.185,125.745,114.490,126.525,126.335,114.745,118.735,119.075,117.215,118.105,120.095
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,08/01/21,111.695,117.640,115.155,114.015,118.920,108.600,109.265,112.600,116.190,111.745,116.950,132.295,125.540,122.740,126.680,119.385,119.915,123.380,116.800,126.120,118.610,118.935,115.080,124.015,116.385,123.320,114.360,109.375,126.395,126.385,124.415,123.735,125.480,127.175,120.490,119.535,127.590,116.545,125.120,123.665,123.720,124.550,119.530,124.570,120.520,121.420,124.180,125.535
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,09/01/21,125.785,115.895,124.240,117.685,118.265,123.905,107.320,123.015,116.055,119.920,119.250,120.745,121.510,129.720,115.615,127.850,124.175,115.000,121.010,114.000,118.085,118.555,117.135,110.990,118.610,116.670,114.520,112.890,104.440,107.865,110.830,110.890,122.480,125.385,128.400,122.255,118.205,125.440,120.505,123.425,120.425,124.625,115.725,115.200,117.535,115.090,113.785,111.885
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,10/01/21,109.450,118.110,112.000,108.370,114.705,108.520,111.055,110.720,113.890,109.255,117.200,113.670,115.895,115.800,126.620,123.380,115.225,115.345,122.015,111.050,121.910,114.215,119.665,115.985,118.775,119.970,126.655,120.120,118.590,120.545,120.650,126.840,135.440,130.760,130.670,142.090,131.465,137.440,132.340,128.850,126.105,122.280,123.775,117.735,116.055,117.835,118.175,112.745
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,11/01/21,111.120,112.935,111.985,112.560,107.135,113.825,103.240,108.255,111.425,110.045,115.690,118.065,122.440,116.015,116.530,121.150,116.830,115.380,120.640,119.925,120.695,110.530,107.855,119.210,105.015,113.145,111.585,102.240,113.340,111.010,115.425,113.240,111.680,111.725,113.370,112.575,111.000,110.250,115.280,110.505,112.565,110.035,110.725,107.015,109.970,108.400,103.800,102.650
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,12/01/21,98.375,98.945,101.455,95.345,93.325,100.625,97.905,94.040,96.335,95.190,98.835,97.815,101.695,101.600,98.080,98.555,105.320,96.820,93.945,96.370,99.055,96.310,95.385,103.825,93.170,104.560,94.215,97.960,98.990,100.930,104.470,105.280,109.155,110.245,114.800,102.785,116.450,107.375,106.680,110.385,106.990,106.705,110.680,107.855,111.240,99.905,102.225,104.160
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,13/01/21,101.000,97.940,104.955,95.165,102.490,104.105,100.630,100.890,106.745,104.140,111.770,113.350,112.505,118.425,114.800,110.510,109.985,108.785,110.800,104.110,102.275,97.120,104.965,100.730,106.000,102.870,95.010,99.680,99.770,99.310,98.590,102.130,103.495,107.295,99.610,107.710,108.690,106.710,107.185,110.880,112.160,109.775,115.345,103.175,103.435,102.205,97.860,95.380
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,14/01/21,99.690,96.850,98.805,99.050,94.880,96.605,91.305,99.080,94.945,100.360,104.250,111.020,108.705,115.595,112.980,119.440,107.560,111.105,120.435,108.820,115.795,110.000,108.535,115.760,111.350,110.955,106.525,112.210,106.185,118.615,119.610,120.080,123.340,123.450,120.830,119.305,123.320,121.400,118.305,124.410,119.180,121.025,113.375,118.170,112.055,115.225,116.090,108.870
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,15/01/21,104.410,105.615,109.030,106.435,102.840,106.860,112.635,101.495,114.430,111.155,110.360,122.040,123.495,118.470,124.505,121.850,116.695,121.050,112.000,112.510,110.760,113.870,107.200,110.490,108.465,107.025,101.240,104.780,111.840,111.780,120.430,113.390,110.960,114.945,123.265,112.865,110.910,117.315,115.095,113.265,113.950,113.610,111.920,108.895,103.895,114.850,115.045,98.825
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,16/01/21,113.520,108.550,109.770,108.270,107.890,109.135,108.985,110.250,107.500,111.600,112.140,115.975,110.895,119.310,126.490,117.810,116.860,116.665,111.920,117.555,117.085,111.985,106.550,111.970,109.850,105.735,106.485,100.760,101.780,103.860,94.515,113.360,109.230,114.370,112.310,113.375,108.075,108.565,108.540,105.605,107.935,111.130,97.800,106.290,102.685,98.985,98.495,102.970
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,17/01/21,95.305,101.055,96.415,98.320,93.330,97.470,99.215,98.015,97.170,99.185,102.505,97.295,106.505,104.645,111.890,112.630,101.735,104.395,104.745,97.750,95.010,103.230,89.000,98.230,95.985,95.975,96.210,100.350,91.960,103.195,96.790,96.410,109.120,101.520,111.255,108.385,108.365,102.120,106.720,99.195,107.455,100.830,100.770,108.480,101.415,92.695,103.450,93.185
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,18/01/21,89.000,96.855,94.215,96.770,97.645,92.860,96.460,95.860,92.910,98.720,95.530,106.100,108.665,104.785,106.695,107.345,107.870,103.145,109.425,96.895,97.255,101.080,93.795,95.950,92.415,100.080,90.755,102.950,94.775,95.425,101.010,103.325,101.220,105.895,111.495,109.655,112.010,113.445,116.265,111.025,113.530,107.920,100.135,107.375,97.815,103.195,98.040,93.405
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,19/01/21,96.880,93.395,90.415,94.265,93.660,90.625,93.435,93.925,89.815,96.105,100.320,101.210,96.135,99.465,94.400,99.625,97.165,92.835,92.535,91.150,87.775,88.700,87.685,88.705,91.575,91.955,89.830,89.345,94.840,91.550,96.320,102.215,99.705,109.595,106.645,107.775,103.420,101.840,98.500,108.425,100.210,101.345,96.780,92.850,98.240,92.920,93.230,92.635
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,20/01/21,88.775,86.055,88.410,86.565,83.770,87.350,86.345,82.505,84.950,99.210,94.865,99.745,101.030,99.600,96.665,97.805,107.010,101.215,98.785,92.490,97.100,92.930,95.960,90.545,99.160,91.310,96.170,93.565,94.280,94.355,97.865,98.180,101.360,111.385,111.235,109.420,108.120,103.785,110.475,104.220,106.730,108.530,99.430,100.535,98.450,94.200,93.375,89.970
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,21/01/21,91.175,87.585,95.060,92.835,93.005,93.145,95.160,91.465,92.510,97.520,106.340,110.980,107.785,108.655,110.180,107.590,113.360,109.695,103.050,100.665,103.405,95.890,102.935,103.465,100.645,95.075,101.405,102.290,102.465,109.015,102.920,113.390,111.940,115.340,110.300,109.390,115.000,111.870,119.585,116.585,106.945,108.480,105.080,109.545,97.880,110.580,106.235,101.470
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,22/01/21,104.930,105.950,100.465,101.590,109.610,98.945,105.725,101.665,101.905,113.320,116.505,114.735,117.290,120.950,118.520,121.410,122.295,119.175,117.855,102.690,106.310,105.240,99.785,105.065,106.575,97.510,102.235,94.815,100.985,106.225,105.790,104.470,114.440,118.060,113.990,118.090,118.880,120.140,115.785,119.935,119.650,112.750,125.265,112.680,119.935,119.585,112.355,111.055
"GS - DT V Opco Limited","Anchor Boulevard","HH 1900027426471 - 15042914",1900027426471,15042914,KWH,A,23/01/21,104.760,111.070,101.865,109.865,104.335,109.335,104.840,106.255,109.235,103.895,114.695,107.730,120.600,128.645,121.185,116.320,112.575,115.800,116.690,113.270,122.435,121.165,116.930,115.610,111.280,112.375,110.285,107.260,106.140,109.875,124.905,116.940,113.570,121.945,116.975,120.495,124.920,120.705,134.760,117.360,123.410,122.080,124.870,122.585,123.855,120.615,120.145,112.270
